Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Michael Lorenzen","KCR",52.2,89.13082125603866,100.23932584269662,79.23720930232558,,103.88472727272728,93.5844230769231,98.41496296296295,,,93.90005479452054,104.1015616438356,96.27917808219179,"Michael Lorenzen",14843,547179
"MacKenzie Gore","WSN",52.2,105.72142201834862,,103.09283018867924,,97.22981132075472,94.4221052631579,94.83011235955057,,,100.81970786516855,102.89667415730335,104.13696629213479,"MacKenzie Gore",22201,669022
"Nick Lodolo","CIN",52.2,98.53451162790698,98.83515151515154,,,,114.74292929292929,91.44684931506849,,,101.64418862690705,100.8342857142857,98.25794729542302,"Nick Lodolo",26378,666157
"Tomoyuki Sugano","BAL",52.2,99.73577235772358,88.68441558441558,90.41306122448981,80.91811764705882,107.39147286821704,87.52581395348838,,,,92.40621700879764,107.02689149560119,102.34234604105572,"Tomoyuki Sugano",35321,608372
"Erick Fedde","STL",52.1,,86.28948096885813,80.3624705882353,,113.63290322580644,,82.86378378378379,,,91.6108356545961,105.91520891364902,99.41203342618384,"Erick Fedde",17425,607200
"José Berríos","TOR",52,90.33212121212122,97.49230769230769,89.1159090909091,,,94.80645161290325,80.38875,,,92.01768742058448,93.65059720457434,88.73545108005082,"Jose Berrios",14168,621244
"Mitch Keller","PIT",52,90.15139931740613,97.58017857142859,,,103.99062500000001,95.33835616438355,92.53976744186046,,,96.4248074679113,99.24301050175032,96.36982497082847,"Mitch Keller",17594,656605
"José Soriano","LAA",52,80.17238095238095,98.81314720812183,,111.65625,109.00941176470589,,,71.74203883495144,,92.57706172839511,113.71370370370374,110.00901234567904,"Jose Soriano",22100,667755
"Nick Martinez","CIN",51.2,87.96794326241135,93.52135922330096,82.9895081967213,,92.25272727272727,85.19705882352942,113.16535211267606,,,93.53364041604753,109.1347102526003,104.90439821693904,"Nick Martinez",12730,607259
"Michael Wacha","KCR",51.2,87.84116279069767,91.83896103896105,81.58407079646018,,88.93164556962024,92.90206896551723,127.3710101010101,,,97.82672634271096,101.21519181585676,98.75601023017904,"Michael Wacha",14078,608379
"Chris Bassitt","TOR",51.1,86.61885714285714,104.4303426791277,96.33436619718312,84.01322580645162,110.63701492537311,98.99338582677166,84.27714285714286,,,98.98830808080808,107.17737373737371,101.98282828282828,"Chris Bassitt",12304,605135
"Jacob deGrom","TEX",51,102.3985573770492,,,,115.08700389105059,99.27837837837838,97.41121212121213,,,106.6336240601504,116.63918796992482,125.82830075187975,"Jacob deGrom",10954,594798
"Merrill Kelly","ARI",51,94.90581818181818,84.32285714285713,90.67193548387098,,99.6685294117647,102.79068181818182,86.95123595505618,,,92.3822422680412,106.23298969072157,100.36502577319591,"Merrill Kelly",11156,518876
"Kevin Gausman","TOR",51,105.84413625304137,106.66,,97.94987654320988,98.38625,,,,,102.42356462585035,105.18095238095238,107.2642176870748,"Kevin Gausman",14107,592332
"Zac Gallen","ARI",51,94.6180975609756,,92.76533333333332,,90.15054945054943,,76.15423423423422,92.94764397905759,,91.27365005793742,103.68546929316341,99.00354577056777,"Zac Gallen",19291,668678
"Yoshinobu Yamamoto","LAD",51,91.8741573033708,103.26585365853657,84.90872727272726,105.90921658986174,102.90380952380953,82.19386861313869,,,,94.6292537313433,108.54195386702852,107.42963364993214,"Yoshinobu Yamamoto",33825,808967
"Freddy Peralta","MIL",50.2,109.85579591836733,,,,105.79828571428571,103.70530303030303,75.83602409638554,,,102.04173302107726,99.11529274004688,101.75154566744733,"Freddy Peralta",18679,642547
"Brandon Pfaadt","ARI",50.2,94.6625287356322,90.59178082191781,,,113.71010989010988,101.77810526315788,75.84120000000001,,,95.53196642685852,104.37705035971224,99.91988009592328,"Brandon Pfaadt",27782,694297
"Bryan Woo","SEA",50.2,102.6865,112.4951724137931,,,104.44227848101266,,84.92238805970149,,,103.79026499302651,109.29615062761506,109.69704323570437,"Bryan Woo",30279,693433
"Robbie Ray","SFG",50.1,109.66329411764706,,,,90.43536363636363,,76.06942307692309,91.42321839080459,,98.55423769507803,90.29039615846338,90.9648739495798,"Robbie Ray",11486,592662
"Dean Kremer","BAL",50.1,108.2171282051282,85.76385321100919,104.89764705882352,97.90353982300886,118.42,83.61841269841268,,,,98.08575418994414,102.14938547486031,98.89444134078212,"Dean Kremer",19350,665152
"Michael King","SDP",50.1,101.91574074074076,104.66778761061946,,,113.09164319248825,,81.12104651162791,,,101.22135429262396,104.37083434099155,106.35966142684401,"Michael King",19853,650633
"Ryan Pepiot","TBR",50.1,107.7438383838384,,91.03283018867924,,97.9531543624161,105.7104,120.51408163265307,,,107.90495132127953,104.60005563282338,111.14305980528513,"Ryan Pepiot",26221,686752
"Sonny Gray","STL",50,80.02454545454545,90.86103896103897,85.88341463414633,,123.64263473053893,93.49293103448277,81.42436363636364,,,95.71284090909093,96.55818181818182,95.25380681818181,"Sonny Gray",12768,543243
"Mitchell Parker","WSN",50,85.34453608247422,,,99.53006896551724,97.87376623376625,99.91403225806454,,,,91.95876712328766,101.9558082191781,93.73312328767123,"Mitchell Parker",27636,680730
"Jonathan Cannon","CHW",50,116.0646153846154,98.03005347593583,90.8043,,120.70791195716835,,90.41322580645162,,,100.78147950286842,102.82230338845906,103.99168983522895,"Jonathan Cannon",31730,686563
"Jameson Taillon","CHC",49.2,98.60455782312926,101.29315789473685,90.48577319587629,,113.42594594594597,89.96094339622643,93.81258064516129,,,98.27450924608819,110.20082503556186,105.15149359886199,"Jameson Taillon",11674,592791
"Aaron Nola","PHI",49.2,108.5122842639594,106.77974683544306,94.17099999999998,,,,78.63544715447155,118.97504504504502,,104.96275418275421,104.22102960102956,106.2292149292149,"Aaron Nola",16149,605400
"Luis Castillo","SEA",49.1,90.81307228915665,88.47999999999999,,,106.55454545454546,,95.93040816326531,,,93.94005333333337,102.81970666666666,98.66765333333333,"Luis Castillo",15689,622491
"Davis Martin","CHW",49.1,96.84929740491238,92.48872435325603,89.88874987753503,,97.45775862068967,96.18315789473684,98.94066146010188,,,95.90158032851414,100.58026885512085,98.22315778683485,"Davis Martin",21448,663436
"Tyler Mahle","TEX",49,98.14881012658228,,90.02,79.04461538461537,91.55256410256409,,,,,91.19138421733506,112.8189909443726,104.4404915912031,"Tyler Mahle",16358,641816
"Clay Holmes","NYM",48.2,72.92688524590163,100.51825757575757,88.53272727272727,,110.6445128205128,,102.56576576576575,,,100.13399425287355,102.20807471264366,105.23893678160917,"Clay Holmes",13649,605280
"Yusei Kikuchi","LAA",48.1,96.56401253918494,99.46333333333332,,,92.62171428571429,91.36657142857143,98.9969911504425,,,94.95357664233576,107.03715328467152,105.6406082725061,"Yusei Kikuchi",20633,579328
"Bailey Ober","MIN",48.1,91.6910687022901,84.83222222222223,,,91.14259887005649,78.99312499999999,108.62154639175259,,,95.58219619326503,105.9201756954612,103.26770131771599,"Bailey Ober",21224,641927
"Justin Verlander","SFG",48,98.24684210526317,,,,116.47603305785123,115.02314606741572,106.02548387096775,,,106.51297927461145,96.15784974093265,102.9586269430052,"Justin Verlander",8700,434378
"Chris Sale","ATL",47.2,95.24175141242938,119.48692307692308,,,117.5801485148515,,100.63679012345679,,,106.90617169373553,102.3482598607889,100.72211136890952,"Chris Sale",10603,519242
"Dylan Cease","SDP",47,108.08161616161615,92.71391304347826,,,110.62428223844283,,109.52529411764706,94.23694915254237,,107.98917475728156,100.89094660194174,109.62046116504854,"Dylan Cease",18525,656302
"Bailey Falter","PIT",47,102.0933088235294,101.38614173228348,,75.31200000000001,84.18492537313433,89.38882352941177,,,,95.31692541856928,99.35269406392695,95.46788432267881,"Bailey Falter",20070,663559
"Chris Paddack","MIN",46.2,98.58160220994476,,,,85.11341463414634,88.96449438202248,99.38435897435897,,,95.92497093023256,112.64566860465115,108.55441860465115,"Chris Paddack",20099,663978
"Taj Bradley","TBR",46.2,100.76135922330097,,105.28397163120567,97.4572619047619,,97.0108910891089,,,,100.34722454672246,86.96237099023709,88.43885634588563,"Taj Bradley",22543,671737
"Jeffrey Springs","ATH",46.1,86.29289552238806,,82.82666666666667,,93.04490118577077,,102.4392349726776,,,91.98751256281409,95.33505025125629,88.9,"Jeffrey Springs",17677,605488
"Matthew Liberatore","STL",46.1,88.40213017751479,94.57829787234043,95.88107526881721,,113.35183431952665,135.0575,81.90441558441557,,,99.56749999999997,107.5593209876543,105.11716049382719,"Matthew Liberatore",22294,669461
"Joe Ryan","MIN",46,105.15392344497607,104.08122448979591,,95.84804347826088,108.56805369127517,,,,,104.58653465346534,107.94096181046676,108.733125884017,"Joe Ryan",21390,657746
"Andrew Heaney","PIT",45.2,101.89778501628665,101.78233766233765,,,91.98958333333333,106.71463414634147,88.09342857142857,,,96.48922425952043,99.04143864598024,93.87602256699576,"Andrew Heaney",15423,571760
"Grant Holmes","ATL",45.2,83.89116279069766,71.42,82.38579710144927,,94.563179916318,99.06238095238095,100.78500000000001,,,89.95552966792914,100.21428170702299,93.95101745464345,"Grant Holmes",16944,656550
"Trevor Williams","WSN",45.2,95.10671755725191,83.85653333333333,,,102.26047945205477,,84.98349514563107,,,95.4348971193416,102.11231824417008,99.32252400548697,"Trevor Williams",16977,592866
"Hunter Greene","CIN",45.2,117.13148936170214,,,112.48222222222222,146.1063519313305,176.72,,,,126.26291666666665,101.4887777777778,123.22863888888884,"Hunter Greene",22182,668881
